"Ticker","Peso"
"ABEV3",0.07039
"BBSE3",0.01599
"BVMF3",0.03868
"BRML3",0.00979
"BBDC3",0.01507
"BBDC4",0.0846
"BRAP4",0.00512
"BBAS3",0.03234
"BRKM5",0.00866
"BRFS3",0.02918
"CCRO3",0.01673
"CMIG4",0.00599
"CIEL3",0.02152
"CPLE6",0.00249
"CSAN3",0.00509
"CPFE3",0.01074
"CYRE3",0.00276
"ECOR3",0.00171
"ELET3",0.00408
"ELET6",0.00399
"EMBR3",0.0113
"ENBR3",0.00387
"EGIE3",0.00632
"EQTL3",0.0104
"ESTC3",0.00684
"FIBR3",0.00824
"GGBR4",0.01013
"GOAU4",0.00278
"HYPE3",0.01007
"ITSA4",0.03378
"ITUB4",0.10807
"JBSS3",0.0114
"KLBN11",0.00755
"KROT3",0.02253
"RENT3",0.00842
"LAME4",0.01022
"LREN3",0.01849
"MRFG3",0.00247
"MRVE3",0.00328
"MULT3",0.00561
"NATU3",0.00436
"PCAR4",0.0096
"PETR3",0.03251
"PETR4",0.04837
"QUAL3",0.00718
"RADL3",0.01258
"RAIL3",0.00755
"SBSP3",0.00939
"SANB11",0.00921
"CSNA3",0.00449
"SMLE3",0.00342
"SUZB5",0.00699
"TAEE11",0.00357
"VIVT4",0.01742
"TIMP3",0.00783
"UGPA3",0.02536
"USIM5",0.00302
"VALE3",0.09044
"WEGE3",0.01001
