"ABEV3","BBSE3","BRML3","BBDC3","BBDC4","BRAP4","BBAS3","BRKM5","BRFS3","CCRO3","CMIG4","CIEL3","CPLE6","CSAN3","CPFE3","CYRE3","ECOR3","ELET3","ELET6","EMBR3","ENBR3","EGIE3","EQTL3","GGBR4","GOAU4","HYPE3","ITSA4","ITUB4","JBSS3","KLBN11","RENT3","LREN3","MRFG3","MRVE3","MULT3","PETR3","PETR4","QUAL3","RADL3","RAIL3","SBSP3","SANB11","CSNA3","TAEE11","UGPA3","USIM5","VALE3","WEGE3","I"
14.220699,14.068426,6.637761,7.274909,6.688665,2.388905,10.16211,16.789963,53.456947,9.6499,2.25514,16.05986,1.283919,4.729064,9.749817,5.166103,4.132174,4.322257,6.972099,28.464014,7.399778,16.461494,5.728098,3.573242,1.138677,16.862812,3.527504,11.590233,9.638961,17.369268,6.496055,11.887386,4.899912,5.294008,11.109686,4.573559,3.459997,9.565508,6.655971,5.983455,15.406487,10.230716,3.001189,7.915658,25.566019,1.240651,8.44851,5.03556,42141
14.443802,14.968116,6.625547,7.331592,6.712971,2.414318,10.197789,16.065081,54.47245,9.896111,2.191391,16.827702,1.25545,4.752711,9.881573,5.40028,4.071535,4.417776,7.035481,28.464014,7.787167,16.65806,6.005825,3.40796,1.04616,17.062702,3.586297,11.68709,9.159011,17.321768,6.657413,12.733859,4.679692,5.395695,11.289971,4.457505,3.364305,9.822905,6.966433,5.683783,15.57626,10.077082,2.853462,7.793125,26.152924,1.13868,8.33533,5.279771,42419
14.303329,14.851033,6.552269,7.201827,6.617826,2.246586,10.197789,17.192673,53.387932,9.761094,2.079829,17.086973,1.250426,4.662069,9.782756,5.194488,4.158163,4.338177,7.14112,28.056278,7.839693,16.411087,6.04054,3.13249,0.910942,17.158648,3.618363,11.640963,8.319101,17.369268,6.71862,12.660254,4.656097,5.268588,11.289971,4.251774,3.223287,9.774207,7.030798,5.214296,15.066952,9.846627,2.627984,7.817628,25.966185,1.036708,7.72283,5.159384,41773
13.923231,14.265616,6.527843,6.971139,6.483919,2.104269,9.955158,16.728006,51.287907,9.173363,1.964283,17.151789,1.190138,4.610838,9.387494,5.222874,3.932929,4.123258,6.972099,27.444672,7.353815,16.028028,5.873905,2.990819,0.854008,16.878801,3.564917,11.419584,8.799048,16.743849,6.676888,12.454151,4.459471,5.243166,10.994423,4.130445,3.152778,9.565508,7.121664,4.545029,14.10776,9.574274,2.565784,7.557861,24.921309,0.977225,7.263455,5.011481,40695
14.105018,14.536757,6.582802,6.95672,6.357061,2.078855,9.955158,16.771374,52.27383,9.13365,1.872643,17.450947,1.135431,4.610838,9.361141,5.322221,3.742347,4.011819,6.746738,27.541752,7.616452,15.801215,5.953752,3.093137,0.889592,16.870804,3.564917,11.424192,8.959033,16.45093,6.676888,12.424709,4.640367,5.249522,11.068308,4.146271,3.157814,9.509853,7.064873,4.295302,14.277528,9.574274,2.659085,7.881349,25.321474,1.002718,7.017123,4.987405,40612
13.881913,14.08075,6.625547,6.823353,6.177344,1.99753,9.669703,17.198866,51.051285,9.030399,1.896549,16.628263,1.147154,4.618721,9.394081,5.315125,3.75101,3.979978,6.493207,27.434965,7.642715,15.826416,5.943336,2.975078,0.868241,16.77486,3.522158,11.290447,9.135013,15.635511,6.688016,12.071403,4.719017,5.344851,11.360903,3.998566,3.06716,9.843777,7.055407,4.09552,14.642529,9.595223,2.620209,7.964671,24.654537,1.019713,6.817396,4.873899,39950
14.030649,14.314916,6.503417,6.870212,6.142104,1.824716,9.334297,16.492575,49.562534,9.292497,1.932409,16.688093,1.146596,4.372414,9.268915,5.350606,3.828975,4.083458,6.612931,28.056278,7.603321,15.881865,5.984994,2.888502,0.839774,17.31057,3.479402,11.341169,8.879042,15.833425,6.281838,12.351107,4.593176,5.459249,11.289971,3.692607,2.785122,9.871601,7.165203,3.945684,14.982067,9.713942,2.550234,7.930362,24.827936,0.977225,6.264814,5.090592,39514
13.906704,14.197834,6.625547,6.84498,6.054007,1.707812,9.163028,16.102253,48.882248,9.260727,1.868659,16.373978,1.113661,4.53202,9.387494,5.386087,3.707696,4.019778,6.479123,27.425253,7.353815,15.801215,6.005825,2.699608,0.775724,17.35055,3.490091,11.165918,8.687061,15.556346,6.318004,12.395269,4.506661,5.338496,11.384546,3.587105,2.654176,9.774207,7.159524,3.326361,15.381024,9.623157,2.488033,7.964671,24.4589,0.875254,5.991852,4.901416,38944
13.923231,14.666163,6.839274,6.920674,6.237248,1.778971,9.67684,15.612807,48.813229,9.252787,1.840769,16.254313,1.087424,4.555666,9.36773,5.286739,3.638392,3.940179,6.429824,27.289343,7.393212,15.498802,5.87564,2.778314,0.797074,16.950764,3.506127,11.327337,8.519079,15.730513,6.429288,12.314303,4.538121,5.338496,11.455478,3.813937,2.865704,9.732468,7.212531,2.607148,15.474396,9.413655,2.565784,8.023488,24.974665,0.883752,6.424596,4.904856,39500
13.708393,14.049938,6.8637,6.621498,6.078678,1.728144,9.305755,15.575633,47.373775,8.974803,1.792957,16.334087,1.066211,4.492611,9.328204,5.144814,3.525776,3.987938,6.457995,26.211748,7.399778,14.994777,5.771493,2.715349,0.782841,16.766859,3.447334,11.032166,8.287106,15.635511,6.226198,12.211255,4.404416,5.274943,11.482076,3.539628,2.603812,9.662898,7.221995,2.996722,15.02451,9.113369,2.464707,7.67059,24.810154,0.81577,6.238182,4.8567,38569
